postcode,suburb,latitude,longitude
3058,Moreland,-37.73,144.96
3059,Greenvale,-37.64,144.89
3060,Fawkner,-37.76,144.9
3060,Fawkner East,-37.76,144.9
3060,Fawkner North,-37.76,144.9
3061,Campbellfield,-37.64,144.95
3062,Somerton,-37.64,144.94
3063,Oaklands Junction,-37.63,144.84
3063,Yuroke,-37.63,144.84
3064,Craigieburn,-37.6,144.94
3064,Donnybrook,-37.6,144.94
3064,Kalkallo,-37.6,144.94
3064,Mickleham,-37.6,144.94
3064,Roxburgh Park,-37.6,144.94
3065,Fitzroy,-37.8,144.98
3066,Collingwood,-37.8,144.98
3066,Collingwood North,-37.8,144.98
3067,Abbotsford,-37.8,145.0
3068,Clifton Hill,-37.79,144.99
3068,Fitzroy North,-37.79,144.99
3070,Northcote,-37.77,145.0
3070,Northcote South,-37.77,145.0
3071,Thornbury,-37.76,145.0
3072,Gilberton,-37.74,145.03
3072,Northland Centre,-37.74,145.03
3072,Preston,-37.74,145.03
3072,Preston Lower,-37.74,145.03
3072,Preston South,-37.74,145.03
3072,Preston West,-37.74,145.03
3072,Regent West,-37.74,145.03
3073,Keon Park,-37.69,145.01
3073,Reservoir,-37.69,145.01
3073,Reservoir East,-37.69,145.01
3073,Reservoir North,-37.69,145.01
3073,Reservoir South,-37.69,145.01
3074,Thomastown,-37.68,145.01
3075,Lalor,-37.67,145.02
3075,Lalor Plaza,-37.67,145.02
3076,Epping,-37.64,145.01
3076,Epping DC,-37.64,145.01
3078,Alphington,-37.78,145.03
3078,Fairfield,-37.78,145.03
3079,Ivanhoe,-37.77,145.04
3079,Ivanhoe East,-37.77,145.04
3079,Ivanhoe North,-37.77,145.04
3081,Bellfield,-37.75,145.05
3081,Heidelberg Heights,-37.75,145.05
3081,Heidelberg Rgh,-37.75,145.05
3081,Heidelberg West,-37.75,145.05
3082,Mill Park,-37.67,145.06
3083,Bundoora,-37.7,145.07
3083,Kingsbury,-37.7,145.07
3083,La Trobe University,-37.7,145.07
3084,Banyule,-37.74,145.09
3084,Eaglemont,-37.74,145.09
3084,Heidelberg,-37.74,145.09
3084,Rosanna,-37.74,145.09
3084,Viewbank,-37.74,145.09
3085,Macleod,-37.73,145.07
3085,Macleod West,-37.73,145.07
3085,Yallambie,-37.73,145.07
3086,La Trobe University,-37.72,145.05
3087,Watsonia,-37.71,145.08
3087,Watsonia North,-37.71,145.08
3088,Briar Hill,-37.71,145.12
3088,Greensborough,-37.71,145.12
3088,St Helena,-37.71,145.12
3089,Diamond Creek,-37.64,145.22
3090,Plenty,-37.67,145.12
3091,Yarrambat,-37.64,145.13
3093,Lower Plenty,-37.73,145.09
3094,Montmorency,-37.72,145.12
3095,Eltham,-37.71,145.15
3095,Eltham North,-37.71,145.15
3095,Research,-37.71,145.15
3096,Wattle Glen,-37.67,145.19
3097,Bend Of Islands,-37.7,145.28
3097,Kangaroo Ground,-37.7,145.28
3097,Watsons Creek,-37.7,145.28
3099,Arthurs Creek,-37.59,145.22
3099,Cottles Bridge,-37.59,145.22
3099,Hurstbridge,-37.59,145.22
3099,Nutfield,-37.59,145.22
3099,Strathewen,-37.59,145.22
3101,Cotham,-37.81,145.04
3101,Kew,-37.81,145.04
3102,Kew East,-37.8,145.05
3103,Balwyn,-37.81,145.08
3103,Balwyn East,-37.81,145.08
3104,Balwyn North,-37.79,145.07
3104,Greythorn,-37.79,145.07
3105,Bulleen,-37.77,145.08
3105,Bulleen South,-37.77,145.08
3106,Templestowe,-37.77,145.12
3107,Templestowe Lower,-37.76,145.1
3108,Doncaster,-37.78,145.12
3109,Doncaster East,-37.81,145.19
3109,Doncaster Heights,-37.81,145.19
3109,The Pines,-37.81,145.19
3109,Tunstall Square Po,-37.81,145.19
3110,Nunawading BC,0.0,0.0
3111,Donvale,-38.18,144.47
3113,North Warrandyte,-37.73,145.22
3113,Warrandyte,-37.73,145.22
3114,Park Orchards,-37.78,145.21
3115,Wonga Park,-37.74,145.27
3116,Chirnside Park,-37.75,145.33
3121,Burnley,-37.83,145.01
3121,Burnley North,-37.83,145.01
3121,Cremorne,-37.83,145.01
3121,Richmond,-37.83,145.01
3121,Richmond East,-37.83,145.01
3121,Richmond North,-37.83,145.01
3121,Richmond South,-37.83,145.01
3122,Auburn South,-37.84,145.05
3122,Glenferrie South,-37.84,145.05
3122,Hawthorn,-37.84,145.05
3122,Hawthorn North,-37.84,145.05
3122,Hawthorn West,-37.84,145.05
3123,Auburn,-37.83,145.04
3123,Hawthorn East,-37.83,145.04
3124,Camberwell,-37.82,145.06
3124,Camberwell North,-37.82,145.06
3124,Camberwell South,-37.82,145.06
3124,Camberwell West,-37.82,145.06
3124,Hartwell,-37.82,145.06
3124,Middle Camberwell,-37.82,145.06
3125,Bennettswood,-37.84,145.12
3125,Burwood,-37.84,145.12
3125,Surrey Hills South,-37.84,145.12
3126,Camberwell East,-37.84,145.09
3126,Canterbury,-37.84,145.09
3127,Mont Albert,-37.82,145.1
3127,Surrey Hills,-37.82,145.1
3127,Surrey Hills North,-37.82,145.1
3128,Box Hill,-37.82,145.12
3128,Box Hill Central,-37.82,145.12
3128,Box Hill South,-37.82,145.12
3128,Houston,-37.82,145.12
3128,Wattle Park,-37.82,145.12
3129,Box Hill North,-37.8,145.13
3129,Kerrimuir,-37.8,145.13
3129,Mont Albert North,-37.8,145.13
3130,Blackburn,-37.82,145.15
3130,Blackburn North,-37.82,145.15
3130,Blackburn South,-37.82,145.15
3130,Laburnum,-37.82,145.15
3131,Brentford Square,-37.84,145.18
3131,Forest Hill,-37.84,145.18
3131,Nunawading,-37.84,145.18
3132,Mitcham,-37.82,145.19
3132,Mitcham North,-37.82,145.19
3132,Rangeview,-37.82,145.19
3133,Vermont,-37.84,145.19
3133,Vermont South,-37.84,145.19
3134,Heathwood,-37.81,145.23
3134,Ringwood,-37.81,145.23
3134,Ringwood North,-37.81,145.23
3134,Warrandyte South,-37.81,145.23
3134,Warranwood,-37.81,145.23
3135,Bedford Road,-37.82,145.25
3135,Heathmont,-37.82,145.25
3135,Ringwood East,-37.82,145.25
3136,Croydon,-37.8,145.28
3136,Croydon Hills,-37.8,145.28
3136,Croydon North,-37.8,145.28
3136,Croydon South,-37.8,145.28
3137,Kilsyth,-37.8,145.31
3137,Kilsyth South,-37.8,145.31
3138,Mooroolbark,-37.77,145.33
3139,Beenak,-37.8,145.54
3139,Don Valley,-37.8,145.54
3139,Hoddles Creek,-37.8,145.54
3139,Launching Place,-37.8,145.54
3139,Seville,-37.8,145.54
3139,Seville East,-37.8,145.54
3139,Wandin East,-37.8,145.54
3139,Wandin North,-37.8,145.54
3139,Woori Yallock,-37.8,145.54
3139,Yellingbo,-37.8,145.54
3140,Lilydale,-37.76,145.35
3141,Chapel Street North,-36.99,144.06
3141,Domain Road Po,-36.99,144.06
3141,South Yarra,-36.99,144.06
3142,Hawksburn,-37.84,145.0
3142,Toorak,-37.84,145.0
3143,Armadale,-37.86,145.02
3143,Armadale North,-37.86,145.02
3144,Kooyong,-37.84,145.03
3144,Malvern,-37.84,145.03
3144,Malvern North,-37.84,145.03
3145,Caulfield East,-37.88,145.04
3145,Central Park,-37.88,145.04
3145,Darling,-37.88,145.04
3145,Darling South,-37.88,145.04
3145,Malvern East,-37.88,145.04
3145,Wattletree Road Po,-37.88,145.04
3146,Glen Iris,-37.85,145.07
3147,Ashburton,-37.86,145.08
3147,Ashwood,-37.86,145.08
3148,Chadstone,-37.89,145.08
3148,Chadstone Centre,-37.89,145.08
3148,Holmesglen,-37.89,145.08
3148,Jordanville,-37.89,145.08
3149,Mount Waverley,-37.88,145.13
3149,Pinewood,-37.88,145.13
3149,Syndal,-37.88,145.13
3150,Brandon Park,-37.88,145.17
3150,Glen Waverley,-37.88,145.17
3150,Wheelers Hill,-37.88,145.17
3151,Burwood East,-37.86,145.14
3151,Burwood Heights,-37.86,145.14
3152,Knox City Centre,-37.87,145.24
3152,Studfield,-37.87,145.24
3152,Wantirna,-37.87,145.24
3152,Wantirna South,-37.87,145.24
3153,Bayswater,-37.84,145.27
3153,Bayswater North,-37.84,145.27
3154,The Basin,-37.85,145.31
3155,Boronia,-37.86,145.28
3156,Ferntree Gully,-37.88,145.3
3156,Lysterfield,-37.88,145.3
3156,Lysterfield South,-37.88,145.3
3156,Mountain Gate,-37.88,145.3
3156,Upper Ferntree Gully,-37.88,145.3
3158,Upwey,-37.9,145.33
3159,Menzies Creek,-37.92,145.4
3159,Selby,-37.92,145.4
3160,Belgrave,-37.91,145.36
3160,Belgrave Heights,-37.91,145.36
3160,Belgrave South,-37.91,145.36
3160,Tecoma,-37.91,145.36
3161,Caulfield Junction,-38.03,145.31
3161,Caulfield North,-38.03,145.31
3162,Caulfield,-37.88,145.03
3162,Caulfield South,-37.88,145.03
3162,Hopetoun Gardens,-37.88,145.03
3163,Booran Road Po,-37.89,145.06
3163,Carnegie,-37.89,145.06
3163,Glen Huntly,-37.89,145.06
3163,Murrumbeena,-37.89,145.06
3164,Dandenong South,-38.02,145.24
3165,Bentleigh East,-37.93,145.06
3165,Coatesville,-37.93,145.06
3166,Hughesdale,-37.9,145.08
3166,Huntingdale,-37.9,145.08
3166,Oakleigh,-37.9,145.08
3166,Oakleigh East,-37.9,145.08
3167,Oakleigh South,-37.93,145.1
3168,Clayton,-37.93,145.12
3168,Notting Hill,-37.93,145.12
3169,Clarinda,-37.94,145.1
3169,Clayton South,-37.94,145.1
3170,Mulgrave,-37.87,145.1
3170,Waverley Gardens,-37.87,145.1
3171,Sandown Village,-37.95,145.16
3171,Springvale,-37.95,145.16
3172,Dingley Village,-37.97,145.12
3172,Springvale South,-37.97,145.12
3173,Keysborough,-37.99,145.15
3174,Noble Park,-37.97,145.18
3174,Noble Park East,-37.97,145.18
3174,Noble Park North,-37.97,145.18
3175,Bangholme,-38.03,145.18
3175,Dandenong,-38.03,145.18
3175,Dandenong East,-38.03,145.18
3175,Dandenong North,-38.03,145.18
3175,Dandenong Plaza,-38.03,145.18
3175,Dandenong South,-38.03,145.18
3175,Dunearn,-38.03,145.18
3176,Scoresby BC,0.0,0.0
3177,Doveton,-38.0,145.24
3177,Eumemmerring,-38.0,145.24
3178,Rowville,-37.93,145.24
3179,Scoresby,-37.86,145.26
3180,Knoxfield,-37.89,145.25
3181,Prahran,-37.85,144.99
3181,Prahran East,-37.85,144.99
3181,Windsor,-37.85,144.99
3182,St Kilda,-37.87,144.98
3182,St Kilda South,-37.87,144.98
3182,St Kilda West,-37.87,144.98
3183,Balaclava,-37.87,145.0
3183,St Kilda East,-37.87,145.0
3184,Brighton Road,-37.88,145.0
3184,Elwood,-37.88,145.0
3185,Elsternwick,-37.88,145.0
3185,Gardenvale,-37.88,145.0
3185,Ripponlea,-37.88,145.0
3186,Brighton,-37.91,144.99
3186,Brighton North,-37.91,144.99
3186,Dendy,-37.91,144.99
3186,Were Street Po,-37.91,144.99
3187,Brighton East,-37.9,145.0
3187,North Road,-37.9,145.0
3188,Hampton,-37.93,145.03
3188,Hampton East,-37.93,145.03
3188,Hampton North,-37.93,145.03
3189,Moorabbin,-37.93,145.04
3189,Moorabbin East,-37.93,145.04
3189,Wishart,-37.93,145.04
3190,Highett,-37.95,145.03
3191,Sandringham,-37.95,145.01
3192,Cheltenham,-37.96,145.06
3192,Cheltenham East,-37.96,145.06
3192,Cheltenham North,-37.96,145.06
3192,Southland Centre,-37.96,145.06
3193,Beaumaris,-37.99,145.03
3193,Black Rock,-37.99,145.03
3193,Black Rock North,-37.99,145.03
3193,Cromer,-37.99,145.03
3194,Mentone,-37.98,145.06
3194,Mentone East,-37.98,145.06
3194,Moorabbin Airport,-37.98,145.06
3195,Aspendale,-38.03,145.1
3195,Aspendale Gardens,-38.03,145.1
3195,Braeside,-38.03,145.1
3195,Mordialloc,-38.03,145.1
3195,Mordialloc North,-38.03,145.1
3195,Parkdale,-38.03,145.1
3195,Waterways,-38.03,145.1
3196,Bonbeach,-38.06,145.12
3196,Chelsea,-38.06,145.12
3196,Chelsea Heights,-38.06,145.12
3196,Edithvale,-38.06,145.12
3197,Carrum,-38.08,145.12
3197,Patterson Lakes,-38.08,145.12
3198,Belvedere Park,-38.11,145.16
3198,Seaford,-38.11,145.16
3199,Frankston,-38.15,145.12
3199,Frankston East,-38.15,145.12
3199,Frankston Heights,-38.15,145.12
3199,Frankston South,-38.15,145.12
3199,Karingal,-38.15,145.12
3199,Karingal Centre,-38.15,145.12
3200,Frankston North,-38.17,145.19
3200,Pines Forest,-38.17,145.19
3201,Carrum Downs,-38.09,145.19
3202,Heatherton,-37.97,145.21
3204,Bentleigh,-37.92,145.04
3204,Mckinnon,-37.92,145.04
3204,Ormond,-37.92,145.04
3204,Patterson,-37.92,145.04
3205,South Melbourne,-37.93,145.03
3205,South Melbourne DC,-37.93,145.03
3206,Albert Park,-37.84,144.96
3206,Middle Park,-37.84,144.96
3207,Garden City,-37.83,144.96
3207,Port Melbourne,-37.83,144.96
3211,Little River,-37.97,144.53
3212,Avalon,-38.02,144.41
3212,Lara,-38.02,144.41
3212,Point Wilson,-38.02,144.41
3214,Corio,-38.07,144.36
3214,Norlane,-38.07,144.36
3214,North Shore,-38.07,144.36
3215,Bell Park,-38.11,144.33
3215,Bell Post Hill,-38.11,144.33
3215,Drumcondra,-38.11,144.33
3215,Geelong North,-38.11,144.33
3215,Hamlyn Heights,-38.11,144.33
3215,North Geelong,-38.11,144.33
3215,Rippleside,-38.11,144.33
3216,Belmont,-38.18,144.34
3216,Freshwater Creek,-38.18,144.34
3216,Grovedale,-38.18,144.34
3216,Grovedale East,-38.18,144.34
3216,Highton,-38.18,144.34
3216,Marshall,-38.18,144.34
3216,Mount Duneed,-38.18,144.34
3216,Wandana Heights,-38.18,144.34
3216,Waurn Ponds,-38.18,144.34
3217,Deakin University,-38.2,144.3
3218,Geelong West,-38.14,144.35
3218,Herne Hill,-38.14,144.35
3218,Manifold Heights,-38.14,144.35
3219,Breakwater,-38.18,144.38
3219,East Geelong,-38.18,144.38
3219,Newcomb,-38.18,144.38
3219,St Albans Park,-38.18,144.38
3219,Thomson,-38.18,144.38
3219,Whittington,-38.18,144.38
3220,Bareena,-38.18,145.11
3220,Geelong,-38.18,145.11
3220,Newtown,-38.18,145.11
3220,South Geelong,-38.18,145.11
3221,Anakie,-37.9,144.25
3221,Barrabool,-37.9,144.25
3221,Batesford,-37.9,144.25
3221,Bellarine,-37.9,144.25
3221,Ceres,-37.9,144.25
3221,Fyansford,-37.9,144.25
3221,Geelong MC,-37.9,144.25
3221,Gnarwarre,-37.9,144.25
3221,Grey River,-37.9,144.25
3221,Kennett River,-37.9,144.25
3221,Lovely Banks,-37.9,144.25
3221,Moolap,-37.9,144.25
3221,Moorabool,-37.9,144.25
3221,Murgheboluc,-37.9,144.25
3221,Separation Creek,-37.9,144.25
3221,Staughton Vale,-37.9,144.25
3221,Stonehaven,-37.9,144.25
3221,Sugarloaf,-37.9,144.25
3221,Wallington,-37.9,144.25
3221,Wongarra,-37.9,144.25
3221,Wye River,-37.9,144.25
3222,Clifton Springs,-38.16,144.56
3222,Curlewis,-38.16,144.56
3222,Drysdale,-38.16,144.56
3222,Mannerim,-38.16,144.56
3222,Marcus Hill,-38.16,144.56
3223,Indented Head,-38.14,144.71
3223,Portarlington,-38.14,144.71
3223,St Leonards,-38.14,144.71
3224,Leopold,-38.18,144.46
3225,Point Lonsdale,-38.29,144.61
3225,Queenscliff,-38.29,144.61
3225,Swan Bay,-38.29,144.61
3225,Swan Island,-38.29,144.61
3226,Ocean Grove,-38.27,144.54
3227,Barwon Heads,-38.28,144.49
3227,Breamlea,-38.28,144.49
3227,Connewarre,-38.28,144.49
3228,Bellbrae,-38.33,144.26
3228,Bells Beach,-38.33,144.26
3228,Jan Juc,-38.33,144.26
3228,Torquay,-38.33,144.26
3230,Anglesea,-38.41,144.19
3231,Aireys Inlet,-38.46,144.11
3231,Big Hill,-38.46,144.11
3231,Eastern View,-38.46,144.11
3231,Fairhaven,-38.46,144.11
3231,Moggs Creek,-38.46,144.11
3232,Lorne,-38.52,144.0
3233,Apollo Bay,-38.75,143.67
3233,Cape Otway,-38.75,143.67
3233,Marengo,-38.75,143.67
3233,Petticoat Creek,-38.75,143.67
3233,Skenes Creek,-38.75,143.67
3233,Skenes Creek North,-38.75,143.67
3235,Benwerrin,-38.47,143.93
3235,Boonah,-38.47,143.93
3235,Deans Marsh,-38.47,143.93
3235,Pennyroyal,-38.47,143.93
3236,Forrest,-38.52,143.71
3236,Mount Sabine,-38.52,143.71
3237,Aire Valley,-38.69,143.56
3237,Beech Forest,-38.69,143.56
3237,Ferguson,-38.69,143.56
3237,Gellibrand Lower,-38.69,143.56
3237,Wattle Hill,-38.69,143.56
3237,Weeaproinah,-38.69,143.56
3237,Wyelangta,-38.69,143.56
3237,Yuulong,-38.69,143.56
3238,Glenaire,-38.78,143.43
3238,Hordern Vale,-38.78,143.43
3238,Johanna,-38.78,143.43
3238,Lavers Hill,-38.78,143.43
3239,Carlisle River,-38.56,143.4
3239,Chapple Vale,-38.56,143.4
3239,Gellibrand,-38.56,143.4
3239,Kennedys Creek,-38.56,143.4
3240,Buckley,-38.22,144.08
3240,Gherang,-38.22,144.08
3240,Modewarre,-38.22,144.08
3240,Moriac,-38.22,144.08
3240,Mount Moriac,-38.22,144.08
3240,Paraparap,-38.22,144.08
3241,Bambra,-38.37,143.95
3241,Ombersley,-38.37,143.95
3241,Wensleydale,-38.37,143.95
3241,Winchelsea,-38.37,143.95
3241,Winchelsea South,-38.37,143.95
3241,Wurdiboluc,-38.37,143.95
3242,Birregurra,-38.31,143.79
3243,Barwon Downs,-38.47,143.76
3243,Murroon,-38.47,143.76
3243,Warncoort,-38.47,143.76
3243,Whoorel,-38.47,143.76
3249,Alvie,-38.24,143.48
3249,Balintore,-38.24,143.48
3249,Barongarook,-38.24,143.48
3249,Barongarook West,-38.24,143.48
3249,Barramunga,-38.24,143.48
3249,Coragulac,-38.24,143.48
3249,Corunnun,-38.24,143.48
3249,Dreeite,-38.24,143.48
3249,Dreeite South,-38.24,143.48
3249,Gerangamete,-38.24,143.48
3249,Irrewarra,-38.24,143.48
3249,Irrewillipe,-38.24,143.48
3249,Irrewillipe East,-38.24,143.48
3249,Kawarren,-38.24,143.48
3249,Larpent,-38.24,143.48
3249,Nalangil,-38.24,143.48
3249,Ondit,-38.24,143.48
3249,Pirron Yallock,-38.24,143.48
3249,Pomborneit East,-38.24,143.48
3249,Swan Marsh,-38.24,143.48
3249,Tanybryn,-38.24,143.48
3249,Warrion,-38.24,143.48
3249,Wool Wool,-38.24,143.48
3249,Yeo,-38.24,143.48
3249,Yeodene,-38.24,143.48
3250,Colac,-38.34,143.58
3250,Colac East,-38.34,143.58
3250,Colac West,-38.34,143.58
3250,Elliminyt,-38.34,143.58
3251,Beeac,-38.19,143.64
3251,Cundare,-38.19,143.64
3251,Cundare North,-38.19,143.64
3251,Eurack,-38.19,143.64
3251,Weering,-38.19,143.64
3254,Cororooke,-38.3,143.52
3260,Bookaar,-38.13,143.1
3260,Bostocks Creek,-38.13,143.1
3260,Bungador,-38.13,143.1
3260,Camperdown,-38.13,143.1
3260,Carpendeit,-38.13,143.1
3260,Chocolyn,-38.13,143.1
3260,Gnotuk,-38.13,143.1
3260,Kariah,-38.13,143.1
3260,Koallah,-38.13,143.1
3260,Leslie Manor,-38.13,143.1
3260,Pomborneit,-38.13,143.1
3260,Pomborneit North,-38.13,143.1
3260,Skibo,-38.13,143.1
3260,South Purrumbete,-38.13,143.1
3260,Stonyford,-38.13,143.1
3260,Tandarook,-38.13,143.1
3260,Tesbury,-38.13,143.1
3260,Weerite,-38.13,143.1
3264,Terang,-38.24,142.91
3265,Boorcan,-38.21,143.01
3265,Cudgee,-38.21,143.01
3265,Dixie,-38.21,143.01
3265,Ecklin South,-38.21,143.01
3265,Ellerslie,-38.21,143.01
3265,Framlingham,-38.21,143.01
3265,Framlingham East,-38.21,143.01
3265,Garvoc,-38.21,143.01
3265,Glenormiston North,-38.21,143.01
3265,Glenormiston South,-38.21,143.01
3265,Kolora,-38.21,143.01
3265,Laang,-38.21,143.01
3265,Noorat,-38.21,143.01
3265,Noorat East,-38.21,143.01
3265,Panmure,-38.21,143.01
3265,Taroon,-38.21,143.01
3265,The Sisters,-38.21,143.01
3266,Bullaharre,-38.34,143.14
3266,Cobden,-38.34,143.14
3266,Cobrico,-38.34,143.14
3266,Elingamite,-38.34,143.14
3266,Elingamite North,-38.34,143.14
3266,Glenfyne,-38.34,143.14
3266,Jancourt,-38.34,143.14
3266,Jancourt East,-38.34,143.14
3266,Naroghid,-38.34,143.14
3266,Simpson,-38.34,143.14
3267,Scotts Creek,-38.45,143.11
3268,Ayrford,-38.42,142.86
3268,Brucknell,-38.42,142.86
3268,Cooriemungle,-38.42,142.86
3268,Cowleys Creek,-38.42,142.86
3268,Curdies River,-38.42,142.86
3268,Curdievale,-38.42,142.86
3268,Heytesbury Lower,-38.42,142.86
3268,Newfield,-38.42,142.86
3268,Nirranda,-38.42,142.86
3268,Nirranda East,-38.42,142.86
3268,Nirranda South,-38.42,142.86
3268,Nullawarre,-38.42,142.86
3268,Nullawarre North,-38.42,142.86
3268,Paaratte,-38.42,142.86
3268,The Cove,-38.42,142.86
3268,Timboon,-38.42,142.86
3268,Timboon West,-38.42,142.86
3269,Port Campbell,-38.62,143.0
3269,Princetown,-38.62,143.0
3269,Waarre,-38.62,143.0
3270,Peterborough,-38.58,142.86
3271,Darlington,-38.0,143.05
3271,Dundonnell,-38.0,143.05
3271,Pura Pura,-38.0,143.05
3272,Mortlake,-38.08,142.81
3272,Woorndoo,-38.08,142.81
3273,Hexham,-38.06,142.61
3274,Caramut,-37.91,142.52
3275,Mailors Flat,-38.3,142.46
3276,Minjah,-38.04,142.44
3276,Woolsthorpe,-38.04,142.44
3277,Allansford,-38.39,142.59
3277,Mepunga,-38.39,142.59
3277,Mepunga East,-38.39,142.59
3277,Mepunga West,-38.39,142.59
3277,Naringal,-38.39,142.59
3277,Naringal East,-38.39,142.59
3278,Purnim,-38.28,142.62
3278,Purnim West,-38.28,142.62
3279,Ballangeich,-38.21,142.66
3279,Wangoom,-38.21,142.66
3280,Dennington,-38.36,142.44
3280,Warrnambool,-38.36,142.44
3280,Warrnambool East,-38.36,142.44
3280,Warrnambool West,-38.36,142.44
3281,Bushfield,-38.33,142.51
3281,Grassmere,-38.33,142.51
3281,Winslow,-38.33,142.51
3281,Woodford,-38.33,142.51
3282,Illowa,-38.33,142.41
3282,Koroit,-38.33,142.41
3283,Crossley,-38.31,142.33
